time,sat_name,subRegion,shaded
2025-11-28T20:17:42.382Z,CALSPHERE 2,A--144,FALSE
2025-11-28T20:18:25.382Z,LCS 1,A--48,TRUE
2025-11-28T20:18:25.382Z,LCS 1,A--49,TRUE
2025-11-28T20:18:25.382Z,LCS 1,A--56,TRUE
2025-11-28T20:18:25.382Z,LCS 1,A--57,TRUE
2025-11-28T20:18:25.382Z,ITAMSAT (IO-26),A--130,TRUE
2025-11-28T20:18:25.382Z,ITAMSAT (IO-26),A--131,TRUE
2025-11-28T20:18:25.382Z,ITAMSAT (IO-26),A--136,TRUE
2025-11-28T20:18:25.382Z,FORTE,A--149,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--155,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--156,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--162,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--163,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--164,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--170,FALSE
2025-11-28T20:18:25.382Z,FORTE,A--171,FALSE
2025-11-28T20:20:28.382Z,LCS 1,A--48,TRUE
2025-11-28T20:20:28.382Z,LCS 1,A--56,TRUE
2025-11-28T20:20:28.382Z,LCS 1,A--57,TRUE
2025-11-28T20:20:28.382Z,LCS 1,A--64,TRUE
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--130,TRUE
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--131,TRUE
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--135,TRUE
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--136,TRUE
2025-11-28T20:20:28.382Z,FORTE,A--149,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--155,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--156,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--162,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--163,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--164,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--170,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--171,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--172,FALSE
2025-11-28T20:20:28.382Z,FORTE,A--179,FALSE
2025-11-28T20:22:56.382Z,LCS 1,A--56,TRUE
2025-11-28T20:22:56.382Z,LCS 1,A--64,TRUE
2025-11-28T20:22:56.382Z,LCS 1,A--72,TRUE
2025-11-28T20:22:56.382Z,LCS 1,A--73,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--122,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--128,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--129,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--130,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--134,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--135,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--136,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--139,TRUE
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--140,TRUE
2025-11-28T20:22:56.382Z,FORTE,A--156,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--157,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--163,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--164,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--165,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--166,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--171,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--172,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--173,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--174,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--180,FALSE
2025-11-28T20:22:56.382Z,FORTE,A--181,FALSE
2025-11-28T20:26:38.382Z,LCS 1,A--72,TRUE
2025-11-28T20:26:38.382Z,LCS 1,A--73,TRUE
2025-11-28T20:26:38.382Z,LCS 1,A--80,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--120,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--121,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--127,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--128,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--133,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--134,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--137,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--138,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--139,TRUE
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--140,TRUE
2025-11-28T20:26:38.382Z,FORTE,A--165,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--166,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--167,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--173,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--174,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--175,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--176,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--181,FALSE
2025-11-28T20:26:38.382Z,FORTE,A--182,FALSE
2025-11-28T20:31:30.382Z,LCS 1,A--80,TRUE
2025-11-28T20:31:30.382Z,LCS 1,A--88,TRUE
2025-11-28T20:31:30.382Z,LCS 1,A--96,TRUE
2025-11-28T20:31:30.382Z,LCS 1,A--97,TRUE
2025-11-28T20:31:30.382Z,FORTE,A--176,FALSE
2025-11-28T20:32:53.382Z,LCS 1,A--96,TRUE
2025-11-28T20:32:53.382Z,LCS 1,A--104,TRUE
2025-11-28T20:32:53.382Z,LCS 1,A--105,TRUE
2025-11-28T20:32:53.382Z,LCS 1,A--112,TRUE
2025-11-28T20:32:53.382Z,LCS 1,A--113,TRUE
2025-11-28T20:32:53.382Z,LCS 1,A--121,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--123,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--124,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--125,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--130,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--131,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--132,TRUE
2025-11-28T20:32:53.382Z,STELLA,A--136,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--104,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--105,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--112,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--113,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--114,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--120,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--121,TRUE
2025-11-28T20:37:07.382Z,LCS 1,A--122,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--122,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--123,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--124,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--129,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--130,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--131,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--132,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--135,TRUE
2025-11-28T20:37:07.382Z,STELLA,A--136,TRUE
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--153,FALSE
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--154,FALSE
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--160,FALSE
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--161,FALSE
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--64,TRUE
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--72,TRUE
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--73,TRUE
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--80,TRUE
2025-11-28T20:43:04.382Z,STELLA,A--112,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--120,TRUE
2025-11-28T20:43:04.382Z,STELLA,A--120,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--121,TRUE
2025-11-28T20:43:04.382Z,STELLA,A--121,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--127,TRUE
