time,sat_name,subRegion,angle_g_param
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--136,0.25
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--139,0.25
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--140,0.25
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--177,0.25
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--183,0.25
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--184,0.25
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--185,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--6,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--7,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--11,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--12,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--13,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--17,0.25
2025-11-28T20:07:03.382Z,LCS 1,A--18,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--52,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--53,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--59,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--60,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--61,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--62,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--67,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--68,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--69,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--70,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--77,0.25
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--78,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--11,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--12,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--17,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--18,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--24,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--25,0.25
2025-11-28T20:10:47.382Z,LCS 1,A--26,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--50,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--51,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--52,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--58,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--59,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--60,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--66,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--67,0.25
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--68,0.25
2025-11-28T20:14:38.382Z,LCS 1,A--24,0.25
2025-11-28T20:14:38.382Z,LCS 1,A--25,0.25
2025-11-28T20:14:38.382Z,LCS 1,A--32,0.25
2025-11-28T20:14:38.382Z,LCS 1,A--33,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--40,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--48,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--49,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--50,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--56,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--57,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--58,0.25
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--65,0.25
2025-11-28T20:14:38.382Z,CALSPHERE 2,A--143,0.25
2025-11-28T20:14:38.382Z,CALSPHERE 2,A--144,0.25
2025-11-28T20:14:38.382Z,CALSPHERE 2,A--145,0.25
2025-11-28T20:17:42.382Z,LCS 1,A--32,0.25
2025-11-28T20:17:42.382Z,LCS 1,A--40,0.25
2025-11-28T20:17:42.382Z,LCS 1,A--48,0.25
2025-11-28T20:17:42.382Z,LCS 1,A--49,0.25
2025-11-28T20:17:42.382Z,CALSPHERE 2,A--144,0.25
2025-11-28T20:18:25.382Z,LCS 1,A--48,0.25
2025-11-28T20:18:25.382Z,LCS 1,A--49,0.25
2025-11-28T20:18:25.382Z,LCS 1,A--56,0.25
2025-11-28T20:18:25.382Z,LCS 1,A--57,0.25
2025-11-28T20:18:25.382Z,ITAMSAT (IO-26),A--130,0.25
2025-11-28T20:18:25.382Z,ITAMSAT (IO-26),A--131,0.25
2025-11-28T20:18:25.382Z,ITAMSAT (IO-26),A--136,0.25
2025-11-28T20:18:25.382Z,FORTE,A--149,0.25
2025-11-28T20:18:25.382Z,FORTE,A--155,0.25
2025-11-28T20:18:25.382Z,FORTE,A--156,0.25
2025-11-28T20:18:25.382Z,FORTE,A--162,0.25
2025-11-28T20:18:25.382Z,FORTE,A--163,0.25
2025-11-28T20:18:25.382Z,FORTE,A--164,0.25
2025-11-28T20:18:25.382Z,FORTE,A--170,0.25
2025-11-28T20:18:25.382Z,FORTE,A--171,0.25
2025-11-28T20:20:28.382Z,LCS 1,A--48,0.25
2025-11-28T20:20:28.382Z,LCS 1,A--56,0.25
2025-11-28T20:20:28.382Z,LCS 1,A--57,0.25
2025-11-28T20:20:28.382Z,LCS 1,A--64,0.25
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--130,0.25
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--131,0.25
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--135,0.25
2025-11-28T20:20:28.382Z,ITAMSAT (IO-26),A--136,0.25
2025-11-28T20:20:28.382Z,FORTE,A--149,0.25
2025-11-28T20:20:28.382Z,FORTE,A--155,0.25
2025-11-28T20:20:28.382Z,FORTE,A--156,0.25
2025-11-28T20:20:28.382Z,FORTE,A--162,0.25
2025-11-28T20:20:28.382Z,FORTE,A--163,0.25
2025-11-28T20:20:28.382Z,FORTE,A--164,0.25
2025-11-28T20:20:28.382Z,FORTE,A--170,0.25
2025-11-28T20:20:28.382Z,FORTE,A--171,0.25
2025-11-28T20:20:28.382Z,FORTE,A--172,0.25
2025-11-28T20:20:28.382Z,FORTE,A--179,0.25
2025-11-28T20:22:56.382Z,LCS 1,A--56,0.25
2025-11-28T20:22:56.382Z,LCS 1,A--64,0.25
2025-11-28T20:22:56.382Z,LCS 1,A--72,0.25
2025-11-28T20:22:56.382Z,LCS 1,A--73,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--122,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--128,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--129,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--130,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--134,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--135,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--136,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--139,0.25
2025-11-28T20:22:56.382Z,ITAMSAT (IO-26),A--140,0.25
2025-11-28T20:22:56.382Z,FORTE,A--156,0.25
2025-11-28T20:22:56.382Z,FORTE,A--157,0.25
2025-11-28T20:22:56.382Z,FORTE,A--163,0.25
2025-11-28T20:22:56.382Z,FORTE,A--164,0.25
2025-11-28T20:22:56.382Z,FORTE,A--165,0.25
2025-11-28T20:22:56.382Z,FORTE,A--166,0.25
2025-11-28T20:22:56.382Z,FORTE,A--171,0.25
2025-11-28T20:22:56.382Z,FORTE,A--172,0.25
2025-11-28T20:22:56.382Z,FORTE,A--173,0.25
2025-11-28T20:22:56.382Z,FORTE,A--174,0.25
2025-11-28T20:22:56.382Z,FORTE,A--180,0.25
2025-11-28T20:22:56.382Z,FORTE,A--181,0.25
